Participante,1. Qual a sua idade?,2. Estado civil:,3. Gênero: Como você se identifica?,4. Autoidentificação racial/étnica (escolha a opção que melhor descreve a sua identidade),5. Qual sua formação educacional:,6. Sua formação foi em instituição:,7. Você atua como:,8. Você atua no:,9. Quanto tempo você atua na Educação Infantil?,11. Você está ciente da inclusão do ensino da computação na educação básica como parte da Política Nacional de Educação Digital (PNED)?,"12. Você já participou de alguma capacitação e/ou formação, sobre o ensino da computação na Educação Básica?",13. É necessário que os professores recebam formações para lidar com a implementação da PNED e o ensino de Computação na Educação Básica:,14. Você possui interesse em participar de formações sobre o ensino da computação na Educação Básica?,15. Compreender sobre pensamento computacional permite que os alunos tenham um melhor desempenho no mundo do trabalho.,16. O pensamento computacional oferece aos estudantes uma base melhor para agir e participar em uma sociedade democrática.,17. É importante ensinar pensamento computacional na Educação Básica.,"18. Desenvolver o  pensamento computacional é tão importante quanto desenvolver habilidades de leitura, escrita e matemática.","19. O pensamento computacional pode ser incluído na sala de aula, permitindo que os alunos resolvam problemas.",20. O  pensamento computacional pode ser ensinado na sala de aula sem o uso de computadores ou outros recursos digitais.,21. O  pensamento computacional dá aos alunos habilidades para resolver problemas de maneira eficiente.,"22. Os professores são importantes para facilitar a educação em computação (por exemplo, discutir os perigos/potenciais dos algoritmos ou solicitar tarefas desafiadoras).",23. O  pensamento computacional ajuda a entender o potencial e as consequências das tecnologias digitais em nossa vida e sociedade.,24.  O pensamento computacional proporciona aos alunos habilidades valiosas no uso de dispositivos digitais.,25.  O pensamento computacional é relevante para o trabalho e a educação obrigatória deve focar no desenvolvimento dessa habilidade.,"26. Crianças pequenas expostas a dispositivos digitais antes da escola, já estão preparadas para uma sociedade digitalizada.","27. Eu tenho habilidades para aprender ferramentas de programação (como por exemplo, Scratch).","28. Eu me sinto confortável em aprender conceitos de computação (como algoritmos, decomposição, abstração).","29. Eu sei ensinar princípios de computação (como algoritmos, decomposição, abstração) em sala de aula.","30. Eu posso aprender princípios de computação (como algoritmos, decomposição e abstração) para resolver problemas.",31. Como você percebe a organização da prática pedagógica em relação ao pensamento computacional na educação infantil? ,32. Você pode dar um exemplo específico de uma ação pedagógica que você considera estar voltada para o desenvolvimento do pensamento computacional na educação infantil? 
P66,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Pública,Professor Regente,4,16 à 20 anos,Não,Não,Concordo Totalmente,Talvez,Indeciso,Indeciso,Concordo,Indeciso,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Indeciso,Nãoo sei,Nâo 
P67,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Graduação,Privada,Professor Regente,4,11 à 15 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Indeciso,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Indeciso,Concordo,Discordo,Concordo,,
P68,34 - 41 anos,Solteiro(a),Feminino,Branco,Especialização,Privada,Professor Regente,4,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Indeciso,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Indeciso,Concordo,,
P69,50 anos ou mais,Separado(a) ou divorciado(a),Masculino,Branco,Especialização,Privada,Educador,5,Mais de 20 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Inexiste ,Inexiste 
P70,42 - 49 anos,Casado(a) ou união estável,Feminino,Negro,Graduação,Privada,Professor Regente,4,1 à 5 anos,Sim,Não,Concordo Totalmente,Não,Indeciso,Indeciso,Discordo,Discordo,Discordo,Discordo,Discordo,Concordo Totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo Totalmente,Discordo Totalmente,Discordo Totalmente,Não tenho uma resposta ,Não 
P71,26 - 33 anos,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Graduação,Pública,Educador,4,16 à 20 anos,Sim,Não,Concordo,Sim,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Discordo Totalmente,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Indeciso,Concordo,Concordo,Concordo,Não sei responder está colocação pois não vivencie ainda .,Crianças tem ter este acesso.
P72,42 - 49 anos,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Especialização,Privada,Professor Regente,5,6 à 10 anos,Sim,Sim,Concordo Totalmente,Talvez,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,"Seria relevante com as ferramentas corretas, porém, na educação pública não há ferramentas para implantar esse ensino.","Já trabalhei em uma cidade onde havia um computador para os alunos na educação infantil, com jogos que continham vários dos conteúdos trabalhados em sala. "
P73,50 anos ou mais,Separado(a) ou divorciado(a),Feminino,Pardo/Mestiço,Especialização,Pública,Educador,5,6 à 10 anos,Sim,Sim,Concordo Totalmente,Talvez,Indeciso,Indeciso,Discordo,Discordo,Indeciso,Indeciso,Discordo,Indeciso,Concordo,Concordo,Indeciso,Discordo,Indeciso,Indeciso,Discordo Totalmente,Indeciso,,Preparando materiais por meio do canva
P74,42 - 49 anos,Casado(a) ou união estável,Feminino,Negro,Especialização,Pública,Educador,5,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Novo forma do livro de chamada precisa ter dominio para realizar suas funcoes de professor.,"Digitar as atividades , fazer cartazes com estetica apresntavel."
P75,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Professor Regente,5,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indeciso,Concordo Totalmente,Fantástico ,"Aprender a manusear o mouse, ligar e escrever  se expressar  entre outros."
P76,34 - 41 anos,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Especialização,Privada,Supervisor,,11 à 15 anos,Sim,Sim,Concordo,Sim,Concordo,Concordo,Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Indeciso,Concordo,Discordo,Concordo,Uma ótima ferramenta.,"Assistir vídeo educativo, jogos pedagógico e elaboração de formas geometria no computador através de aplicativos.
"
P77,50 anos ou mais,Separado(a) ou divorciado(a),Feminino,Branco,Ensino Médio (Modalidade Normal/Magistério),Pública,Educador,5,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Indeciso,Discordo,Concordo Totalmente,Discordo,Concordo Totalmente,Eu como profissional e um meio de globalizar nossas crianças para o uso correto da tecnologia ,Proporcionar  o contato adequado com o uso da informática 
P78,42 - 49 anos,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Graduação,Privada,Educador,5,16 à 20 anos,Sim,Sim,Concordo,Talvez,Concordo,Concordo,Concordo,Discordo,Indeciso,Indeciso,Indeciso,Concordo,Concordo,Concordo,Indeciso,Discordo Totalmente,Discordo,Indeciso,Discordo,Concordo,"Está em adaptação da aprendizagem, cursos e adequação no mundo educacional. Sinto que é algo novo, para todos educadores.","Precisa ser pensado, organizado, muito bem administrado e com um bom acompanhamento pedagógico da coordenação pedagógica, tudo que e novo, deve ser extremamente organizado, pois a educação faz parte da mudança de um mundo melhor, para todos, uma sociedade envolvida em uma educação para todos."
P79,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Educador,4,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Indeciso,Discordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Indeciso,Discordo,Discordo Totalmente,Concordo,"Uma área difícil de se lidar, pois há muitos profissionais não qualificados para usar essa ferramenta. ","Esse ano chegou no Cmei tablet para ser usado com o infantil 5, mas não chegou a informação como será usado, nem formação ou cursos como usar esse material com as crianças."
P80,42 - 49 anos,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Mestrado,Pública,Educador,4,11 à 15 anos,Não,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indeciso,Concordo,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indeciso,Discordo Totalmente,Indeciso,Concordo Totalmente,Discordo,Concordo Totalmente,,
P81,26 - 33 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Pública,Educador,5,11 à 15 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Indeciso,Discordo,Discordo,Concordo,Por enquanto falha,"Logico-matematico.
"
P82,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Professor Regente,5,6 à 10 anos,Sim,Não,Concordo,Sim,Concordo,Indeciso,Concordo,Discordo,Concordo,Concordo,Indeciso,Concordo,Concordo,Indeciso,Indeciso,Discordo,Discordo Totalmente,Discordo Totalmente,Discordo Totalmente,Concordo,,
P83,50 anos ou mais,Casado(a) ou união estável,Feminino,"Prefiro ""não responder""",Especialização,Ambas,Professor Regente,4,11 à 15 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo Totalmente,Discordo,Discordo,Discordo,Indeciso,,
P84,42 - 49 anos,Solteiro(a),Feminino,Branco,Especialização,Privada,Educador,4,11 à 15 anos,Sim,Não,Concordo Totalmente,Sim,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo Totalmente,"Nem computador nem espaço adequados possui  a unidade, para que tal.",
P85,26 - 33 anos,Solteiro(a),Feminino,Branco,Especialização,Pública,Educador,5,6 à 10 anos,Não,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indeciso,Concordo,Discordo,Concordo,"Como uma ferramenta que potencializará o desenvolvimento do meus alunos, visto que eles nasceram no mundo digital e trazer para sala recursos tecnológicos tornam as aulas mais atrativas.","Um exemplo é a utilização de recursos como projetor e computadores para mostrar imagens, vídeos e até visitar museus online e mapas interativos são exemplos que podem ser utilizados na educação infantil como forma de ampliação de conceitos e possibilidades de conhecer lugares, objetos, animais, espaços onde não há a possibilidade de trazer para a sala de aula."
P86,50 anos ou mais,Casado(a) ou união estável,Feminino,Branco,Graduação,Privada,Educador,4,1 à 5 anos,Sim,Não,Concordo Totalmente,Talvez,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,,
